dataset,method,run,ACC,F-score,Recall,DCV,time_s
vowel0,kmeans,8,0.812753036437247,0.6721640793851507,0.8370081662954714,0.49190283400809715,0.0093
vowel0,kmeans,9,0.7257085020242915,0.6107040820035622,0.8491091314031181,0.2692307692307692,0.01
vowel0,kmeanspp,0,0.7257085020242915,0.6107040820035622,0.8491091314031181,0.2692307692307692,0.0077
vowel0,kmeanspp,1,0.7257085020242915,0.6107040820035622,0.8491091314031181,0.2692307692307692,0.0041
vowel0,kmeanspp,2,0.6781376518218624,0.5731450837178212,0.8229398663697105,0.17408906882591094,0.0038
vowel0,kmeanspp,3,0.812753036437247,0.6721640793851507,0.8370081662954714,0.49190283400809715,0.0043
vowel0,kmeanspp,4,0.7257085020242915,0.6107040820035622,0.8491091314031181,0.2692307692307692,0.0042
vowel0,kmeanspp,5,0.6781376518218624,0.5731450837178212,0.8229398663697105,0.17408906882591094,0.0029
vowel0,kmeanspp,6,0.7257085020242915,0.6107040820035622,0.8491091314031181,0.2692307692307692,0.0059
vowel0,kmeanspp,7,0.8137651821862348,0.6731770458794765,0.8375649591685226,0.4939271255060729,0.0044
vowel0,kmeanspp,8,0.7257085020242915,0.6107040820035622,0.8491091314031181,0.2692307692307692,0.0071
vowel0,kmeanspp,9,0.7257085020242915,0.6107040820035622,0.8491091314031181,0.2692307692307692,0.005
vowel0,macw,0,0.902834008097166,0.6209718670076726,0.5966344964117792,0.9068825910931174,0.0132
vowel0,macw,1,0.9048582995951417,0.47502656748140276,0.4977728285077951,0.9919028340080972,0.0131
vowel0,macw,2,0.9210526315789473,0.5968359595705945,0.5666666666666667,0.9757085020242915,0.0137
vowel0,macw,3,0.9210526315789473,0.5968359595705945,0.5666666666666667,0.9757085020242915,0.0146
vowel0,macw,4,0.902834008097166,0.6209718670076726,0.5966344964117792,0.9068825910931174,0.0154
vowel0,macw,5,0.902834008097166,0.6209718670076726,0.5966344964117792,0.9068825910931174,0.0179
vowel0,macw,6,0.9210526315789473,0.5968359595705945,0.5666666666666667,0.9757085020242915,0.0287
vowel0,macw,7,0.9048582995951417,0.47502656748140276,0.4977728285077951,0.9919028340080972,0.0169
vowel0,macw,8,0.9048582995951417,0.47502656748140276,0.4977728285077951,0.9919028340080972,0.0189
vowel0,macw,9,0.9281376518218624,0.6722285821087307,0.6205518436030685,0.9493927125506073,0.0144
vowel0,ictlb,0,0.9068825910931174,0.47558386411889597,0.49888641425389757,0.9959514170040485,0.0203
vowel0,ictlb,1,0.9078947368421053,0.47586206896551725,0.4994432071269488,0.9979757085020243,0.0245
vowel0,ictlb,2,0.9078947368421053,0.47586206896551725,0.4994432071269488,0.9979757085020243,0.0243
vowel0,ictlb,3,0.9078947368421053,0.47586206896551725,0.4994432071269488,0.9979757085020243,0.018
vowel0,ictlb,4,0.9058704453441295,0.4753053637812002,0.4983296213808463,0.9939271255060729,0.0163
vowel0,ictlb,5,0.9058704453441295,0.4753053637812002,0.4983296213808463,0.9939271255060729,0.0167
vowel0,ictlb,6,0.9119433198380567,0.604805450959297,0.5766518188567187,0.9453441295546559,0.0197
vowel0,ictlb,7,0.9068825910931174,0.47558386411889597,0.49888641425389757,0.9959514170040485,0.0241
vowel0,ictlb,8,0.9251012145748988,0.690915854978355,0.6438752783964365,0.9230769230769231,0.0193
vowel0,ictlb,9,0.9048582995951417,0.47502656748140276,0.4977728285077951,0.9919028340080972,0.0186
shuttle-2vs5,kmeans,0,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0349
shuttle-2vs5,kmeans,1,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0324
shuttle-2vs5,kmeans,2,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0353
shuttle-2vs5,kmeans,3,0.7207478890229192,0.43898843780671315,0.5667997226438786,0.4469240048250905,0.036
shuttle-2vs5,kmeans,4,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0376
shuttle-2vs5,kmeans,5,0.7207478890229192,0.43898843780671315,0.5667997226438786,0.4469240048250905,0.0363
shuttle-2vs5,kmeans,6,0.721351025331725,0.4392366550804253,0.5671058138590606,0.44813027744270206,0.0355
shuttle-2vs5,kmeans,7,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0348
shuttle-2vs5,kmeans,8,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0331
shuttle-2vs5,kmeans,9,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0316
shuttle-2vs5,kmeanspp,0,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0044
shuttle-2vs5,kmeanspp,1,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0031
shuttle-2vs5,kmeanspp,2,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0036
shuttle-2vs5,kmeanspp,3,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0032
shuttle-2vs5,kmeanspp,4,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0041
shuttle-2vs5,kmeanspp,5,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0038
shuttle-2vs5,kmeanspp,6,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0063
shuttle-2vs5,kmeanspp,7,0.7207478890229192,0.43898843780671315,0.5667997226438786,0.4469240048250905,0.0033
shuttle-2vs5,kmeanspp,8,0.721351025331725,0.4392366550804253,0.5671058138590606,0.44813027744270206,0.0034
shuttle-2vs5,kmeanspp,9,0.7159227985524729,0.43700376691959697,0.5643509929224215,0.43727382388419783,0.0028
shuttle-2vs5,macw,0,0.7201447527141134,0.42384120343637827,0.41572809105276637,0.4638118214716526,0.0337
shuttle-2vs5,macw,1,0.7201447527141134,0.42384120343637827,0.41572809105276637,0.4638118214716526,0.0345
shuttle-2vs5,macw,2,0.7201447527141134,0.42384120343637827,0.41572809105276637,0.4638118214716526,0.0339
shuttle-2vs5,macw,3,0.7201447527141134,0.42384120343637827,0.41572809105276637,0.4638118214716526,0.0326
shuttle-2vs5,macw,4,0.7201447527141134,0.42384120343637827,0.41572809105276637,0.4638118214716526,0.0335
shuttle-2vs5,macw,5,0.7201447527141134,0.42384120343637827,0.41572809105276637,0.4638118214716526,0.0386
shuttle-2vs5,macw,6,0.9810012062726177,0.495204749581367,0.4978573614937251,0.991556091676719,0.0378
shuttle-2vs5,macw,7,0.7201447527141134,0.42384120343637827,0.41572809105276637,0.4638118214716526,0.0376
shuttle-2vs5,macw,8,0.7201447527141134,0.42384120343637827,0.41572809105276637,0.4638118214716526,0.0389
shuttle-2vs5,macw,9,0.7201447527141134,0.42384120343637827,0.41572809105276637,0.4638118214716526,0.0407
shuttle-2vs5,ictlb,0,0.9698431845597105,0.4923453766074709,0.4921946740128558,0.9692400482509047,0.083
shuttle-2vs5,ictlb,1,0.9800965018094089,0.4949741090466037,0.49739822467095196,0.9897466827503015,0.0739
shuttle-2vs5,ictlb,2,0.9689384800965019,0.4921121151784347,0.49173553719008267,0.9674306393244874,0.0664
shuttle-2vs5,ictlb,3,0.7367310012062727,0.4242055912484806,0.3738904193449648,0.503015681544029,0.0459
shuttle-2vs5,ictlb,4,0.9810012062726177,0.495204749581367,0.4978573614937251,0.991556091676719,0.068
shuttle-2vs5,ictlb,5,0.7361278648974668,0.4240055584505819,0.37358432812978265,0.5018094089264173,0.0621
shuttle-2vs5,ictlb,6,0.9571773220747889,0.48906009244992293,0.4857667584940312,0.9439083232810616,0.0601
shuttle-2vs5,ictlb,7,0.7367310012062727,0.4242055912484806,0.3738904193449648,0.503015681544029,0.051
shuttle-2vs5,ictlb,8,0.7367310012062727,0.4242055912484806,0.3738904193449648,0.503015681544029,0.0463
shuttle-2vs5,ictlb,9,0.7367310012062727,0.4242055912484806,0.3738904193449648,0.503015681544029,0.0495
