fold,classifier,resampler,mcc,rank
6,Radial_SVM,ros,0.42962962962962964,4.0
6,Linear_SVM,ros,0.44565871858907996,1.0
6,NNet,ros,0.4536804288397352,3.5
6,NaiveBayes,ros,0.42962962962962964,4.0
6,LogisticReg,ros,0.4866666666666667,2.0
6,J48,smote,0.36167967605963075,2.0
6,KNN,smote,0.39568145630893564,4.0
6,CART,smote,0.5760658398584765,1.0
6,Radial_SVM,smote,0.4629100498862757,2.0
6,Linear_SVM,smote,0.4204522053456932,3.0
6,NNet,smote,0.4536804288397352,3.5
6,NaiveBayes,smote,0.4536804288397352,3.0
6,LogisticReg,smote,0.42962962962962964,4.0
6,J48,smotewb,0.349754259914075,3.0
6,KNN,smotewb,0.4123951744684367,2.0
6,CART,smotewb,0.5687822180346598,2.0
6,Radial_SVM,smotewb,0.44565871858907996,3.0
6,Linear_SVM,smotewb,0.43893811257017395,2.0
6,NNet,smotewb,0.5044185153893525,2.0
6,NaiveBayes,smotewb,0.5044185153893525,2.0
6,LogisticReg,smotewb,0.44565871858907996,3.0
7,J48,none,0.4336735806213181,3.0
7,KNN,none,0.4296142637737487,1.0
7,CART,none,0.3879322914310754,2.0
7,Radial_SVM,none,0.43893811257017395,2.0
7,Linear_SVM,none,0.378691704962503,4.0
7,NNet,none,0.4629100498862757,3.0
7,NaiveBayes,none,0.3275366019667524,3.0
7,LogisticReg,none,0.4123951744684367,4.0
7,J48,ros,0.4666666666666667,1.0
7,KNN,ros,0.3879322914310754,4.0
7,CART,ros,0.4569299776953924,1.0
7,Radial_SVM,ros,0.4296142637737487,3.0
7,Linear_SVM,ros,0.417489966754203,2.5
7,NNet,ros,0.46354777877784786,1.5
7,NaiveBayes,ros,0.3535533905932738,1.5
7,LogisticReg,ros,0.417489966754203,2.5
7,J48,smote,0.43893811257017395,2.0
7,KNN,smote,0.4023817477999735,3.0
7,CART,smote,0.3677089562999654,3.5
7,Radial_SVM,smote,0.5185449728701349,1.0
7,Linear_SVM,smote,0.4511777625672017,1.0
7,NNet,smote,0.46354777877784786,1.5
7,NaiveBayes,smote,0.3535533905932738,1.5
7,LogisticReg,smote,0.4511777625672017,1.0
7,J48,smotewb,0.4204522053456932,4.0
7,KNN,smotewb,0.4223683957499603,2.0
7,CART,smotewb,0.3677089562999654,3.5
7,Radial_SVM,smotewb,0.417489966754203,4.0
7,Linear_SVM,smotewb,0.417489966754203,2.5
7,NNet,smotewb,0.4511777625672017,4.0
7,NaiveBayes,smotewb,0.3058693853650585,4.0
7,LogisticReg,smotewb,0.417489966754203,2.5
8,J48,none,0.3157408869505305,4.0
8,KNN,none,0.4153846153846154,2.0
8,CART,none,0.37277341919294116,4.0
8,Radial_SVM,none,0.47384615384615386,2.0
8,Linear_SVM,none,0.4570549736073866,4.0
8,NNet,none,0.5524850114241865,1.0
8,NaiveBayes,none,0.5301996440313944,1.0
8,LogisticReg,none,0.4612631569755697,4.0
8,J48,ros,0.34707423212168276,3.0
8,KNN,ros,0.39617930531268536,3.5
8,CART,ros,0.461917223501702,1.0
8,Radial_SVM,ros,0.46385012243953183,3.0
8,Linear_SVM,ros,0.5174642313911472,1.5
8,NNet,ros,0.4292092356444621,4.0
8,NaiveBayes,ros,0.4992301766027062,2.0
8,LogisticReg,ros,0.5174642313911472,2.0
8,J48,smote,0.3569230769230769,2.0
8,KNN,smote,0.39617930531268536,3.5
8,CART,smote,0.4458462558564744,2.0
8,Radial_SVM,smote,0.4292092356444621,4.0
8,Linear_SVM,smote,0.5174642313911472,1.5
8,NNet,smote,0.46385012243953183,3.0
8,NaiveBayes,smote,0.48238191061886604,3.0
8,LogisticReg,smote,0.5372486108055937,1.0
8,J48,smotewb,0.3691887949279695,1.0
8,KNN,smotewb,0.4314542408723264,1.0
8,CART,smotewb,0.38804156093810027,3.0
8,Radial_SVM,smotewb,0.4992301766027062,1.0
8,Linear_SVM,smotewb,0.4804199701578033,3.0
8,NNet,smotewb,0.4992301766027062,2.0
8,NaiveBayes,smotewb,0.4628970533131418,4.0
8,LogisticReg,smotewb,0.4992301766027062,3.0
9,J48,none,0.18906164316369653,3.0
9,KNN,none,0.28577380332470415,4.0
9,CART,none,0.24802056177378953,4.0
9,Radial_SVM,none,0.40893344908914314,1.0
9,Linear_SVM,none,0.37596030887070225,1.0
9,NNet,none,0.3811193899422075,1.0
9,NaiveBayes,none,0.29868844171608855,4.0
9,LogisticReg,none,0.33924972233852685,1.0
9,J48,ros,0.21203478816820132,1.0
9,KNN,ros,0.355229955778562,2.5
9,CART,ros,0.34707423212168276,1.0
9,Radial_SVM,ros,0.3044563782253105,3.0
9,Linear_SVM,ros,0.3044563782253105,3.0
9,NNet,ros,0.24802056177378953,4.0
9,NaiveBayes,ros,0.39193271931340373,1.0
9,LogisticReg,ros,0.26877649204419884,4.0
9,J48,smote,0.10217701242800799,4.0
9,KNN,smote,0.355229955778562,2.5
9,CART,smote,0.2964293432888574,3.0
9,Radial_SVM,smote,0.3255181959201964,2.0
9,Linear_SVM,smote,0.34707423212168276,2.0
9,NNet,smote,0.28997976969473926,3.0
9,NaiveBayes,smote,0.3691887949279695,2.0
9,LogisticReg,smote,0.31169217932443327,2.0
9,J48,smotewb,0.19158474532226857,2.0
9,KNN,smotewb,0.4041686945486262,1.0
9,CART,smotewb,0.2994500453670523,2.0
9,Radial_SVM,smotewb,0.28997976969473926,4.0
9,Linear_SVM,smotewb,0.28577380332470415,4.0
9,NNet,smotewb,0.3339815779363246,2.0
9,NaiveBayes,smotewb,0.3569230769230769,3.0
9,LogisticReg,smotewb,0.28577380332470415,3.0
10,J48,none,0.36232865092627065,1.0
10,KNN,none,0.2833333333333333,2.0
10,CART,none,0.3868989217888074,2.0
10,Radial_SVM,none,0.3615399583301107,3.0
10,Linear_SVM,none,0.4286208662612397,1.0
10,NNet,none,0.4000940939272025,1.0
10,NaiveBayes,none,0.4666666666666667,3.0
10,LogisticReg,none,0.39446993708322725,2.0
10,J48,ros,0.20871076921228857,2.0
10,KNN,ros,0.23659846994187425,3.0
10,CART,ros,0.4888552745746736,1.0
10,Radial_SVM,ros,0.3535533905932738,4.0
10,Linear_SVM,ros,0.3275366019667524,4.0
10,NNet,ros,0.31916251649301863,4.0
10,NaiveBayes,ros,0.42962962962962964,4.0
10,LogisticReg,ros,0.37438839013338365,3.0
10,J48,smote,0.10837506125496145,3.0
10,KNN,smote,0.1879579876680029,4.0
10,CART,smote,0.2583900773999757,4.0
10,Radial_SVM,smote,0.37438839013338365,2.0
10,Linear_SVM,smote,0.3837065760234115,2.0
10,NNet,smote,0.349754259914075,3.0
10,NaiveBayes,smote,0.4866666666666667,1.0
10,LogisticReg,smote,0.39568145630893564,1.0
10,J48,smotewb,0.08444608949693004,4.0
10,KNN,smotewb,0.30420509650684807,1.0
10,CART,smotewb,0.349754259914075,3.0
10,Radial_SVM,smotewb,0.3837065760234115,1.0
10,Linear_SVM,smotewb,0.36232865092627065,3.0
10,NNet,smotewb,0.3837065760234115,2.0
10,NaiveBayes,smotewb,0.4785757597651158,2.0
10,LogisticReg,smotewb,0.36232865092627065,4.0
11,J48,none,0.2713666279100933,1.0
11,KNN,none,0.29346473089514225,2.0
11,CART,none,0.37438839013338365,2.0
11,Radial_SVM,none,0.30953653338027165,4.0
11,Linear_SVM,none,0.3306471285253108,4.0
11,NNet,none,0.2810277450473483,4.0
11,NaiveBayes,none,0.3868989217888074,4.0
11,LogisticReg,none,0.30953653338027165,4.0
11,J48,ros,0.233999509108495,3.0
11,KNN,ros,0.2713666279100933,3.0
11,CART,ros,0.32543187598314016,4.0
11,Radial_SVM,ros,0.3677089562999654,3.0
11,Linear_SVM,ros,0.37438839013338365,3.0
11,NNet,ros,0.3535533905932738,2.5
11,NaiveBayes,ros,0.4063321549001754,2.5
11,LogisticReg,ros,0.4427410738901448,2.0
11,J48,smote,0.21061953138798983,4.0
11,KNN,smote,0.2151966538534342,4.0
11,CART,smote,0.4569299776953924,1.0
11,Radial_SVM,smote,0.4085505846855608,1.0
11,Linear_SVM,smote,0.4085505846855608,1.0
11,NNet,smote,0.3535533905932738,2.5
11,NaiveBayes,smote,0.4063321549001754,2.5
11,LogisticReg,smote,0.46354777877784786,1.0
11,J48,smotewb,0.25851851851851854,2.0
11,KNN,smotewb,0.30420509650684807,1.0
11,CART,smotewb,0.3529299526817895,3.0
11,Radial_SVM,smotewb,0.39568145630893564,2.0
11,Linear_SVM,smotewb,0.3837065760234115,2.0
11,NNet,smotewb,0.39568145630893564,1.0
11,NaiveBayes,smotewb,0.4629100498862757,1.0
11,LogisticReg,smotewb,0.39568145630893564,3.0
12,J48,none,0.5112313234371975,2.0
12,KNN,none,0.4204522053456932,3.0
12,CART,none,0.589482896585366,1.0
12,Radial_SVM,none,0.5931195913752998,1.0
12,Linear_SVM,none,0.5627826821234976,1.0
12,NNet,none,0.5578106278623646,1.0
12,NaiveBayes,none,0.5594309277855158,1.0
12,LogisticReg,none,0.5931195913752998,1.0
12,J48,ros,0.4123951744684367,4.0
12,KNN,ros,0.4427410738901448,2.0
12,CART,ros,0.5366993141845384,2.0
12,Radial_SVM,ros,0.5291105481433476,3.5
12,Linear_SVM,ros,0.519487944872376,3.5
12,NNet,ros,0.46354777877784786,4.0
12,NaiveBayes,ros,0.49604652413672967,4.0
12,LogisticReg,ros,0.49604652413672967,4.0
12,J48,smote,0.4296142637737487,3.0
12,KNN,smote,0.4023817477999735,4.0
12,CART,smote,0.349754259914075,4.0
12,Radial_SVM,smote,0.5291105481433476,3.5
12,Linear_SVM,smote,0.5522164981933888,2.0
12,NNet,smote,0.5185449728701349,3.0
12,NaiveBayes,smote,0.5437037037037037,2.0
12,LogisticReg,smote,0.5291105481433476,3.0
12,J48,smotewb,0.5400660110544787,1.0
12,KNN,smotewb,0.4733002574487753,1.0
12,CART,smotewb,0.5112313234371975,3.0
12,Radial_SVM,smotewb,0.5522164981933888,2.0
12,Linear_SVM,smotewb,0.519487944872376,3.5
12,NNet,smotewb,0.519487944872376,2.0
12,NaiveBayes,smotewb,0.5366993141845384,3.0
12,LogisticReg,smotewb,0.5437037037037037,2.0
13,J48,none,0.32575006116601346,3.0
13,KNN,none,0.31844529735483207,4.0
13,CART,none,0.4866666666666667,1.5
13,Radial_SVM,none,0.4618833599503053,4.0
13,Linear_SVM,none,0.3658010669613767,4.0
13,NNet,none,0.44565871858907996,4.0
13,NaiveBayes,none,0.47186039625508397,2.0
13,LogisticReg,none,0.4000940939272025,4.0
13,J48,ros,0.378691704962503,2.0
13,KNN,ros,0.349754259914075,2.5
13,CART,ros,0.4866666666666667,1.5
13,Radial_SVM,ros,0.4733002574487753,2.5
13,Linear_SVM,ros,0.49604652413672967,2.0
13,NNet,ros,0.5291105481433476,1.5
13,NaiveBayes,ros,0.4629100498862757,3.5
13,LogisticReg,ros,0.49604652413672967,2.0
13,J48,smote,0.42962962962962964,1.0
13,KNN,smote,0.349754259914075,2.5
13,CART,smote,0.4785757597651158,3.0
13,Radial_SVM,smote,0.49604652413672967,1.0
13,Linear_SVM,smote,0.49604652413672967,2.0
13,NNet,smote,0.5291105481433476,1.5
13,NaiveBayes,smote,0.4629100498862757,3.5
13,LogisticReg,smote,0.49604652413672967,2.0
13,J48,smotewb,0.2833333333333333,4.0
13,KNN,smotewb,0.4063321549001754,1.0
13,CART,smotewb,0.417489966754203,4.0
13,Radial_SVM,smotewb,0.4733002574487753,2.5
13,Linear_SVM,smotewb,0.49604652413672967,2.0
13,NNet,smotewb,0.519487944872376,3.0
13,NaiveBayes,smotewb,0.4866666666666667,1.0
13,LogisticReg,smotewb,0.49604652413672967,2.0
14,J48,none,0.31844529735483207,2.0
14,KNN,none,0.34444444444444444,4.0
14,CART,none,0.5437037037037037,2.0
14,Radial_SVM,none,0.3226989547312098,4.0
14,Linear_SVM,none,0.32222222222222224,3.0
14,NNet,none,0.396265244237808,1.0
14,NaiveBayes,none,0.29445905039898174,3.0
14,LogisticReg,none,0.35924016749576715,3.0
14,J48,ros,0.14754506879290435,4.0
14,KNN,ros,0.4427410738901448,1.0
14,CART,ros,0.6731629876002658,1.0
14,Radial_SVM,ros,0.3725925925925926,2.0
14,Linear_SVM,ros,0.36232865092627065,1.5
14,NNet,ros,0.349754259914075,2.0
14,NaiveBayes,ros,0.378691704962503,1.5
14,LogisticReg,ros,0.3961295342422729,1.5
14,J48,smote,0.14757569038298454,3.0
14,KNN,smote,0.37438839013338365,3.0
14,CART,smote,0.3868989217888074,4.0
14,Radial_SVM,smote,0.417489966754203,1.0
14,Linear_SVM,smote,0.36232865092627065,1.5
14,NNet,smote,0.2931763649279746,4.0
14,NaiveBayes,smote,0.378691704962503,1.5
14,LogisticReg,smote,0.3961295342422729,1.5
14,J48,smotewb,0.43893811257017395,1.0
14,KNN,smotewb,0.4204522053456932,2.0
14,CART,smotewb,0.4866666666666667,3.0
14,Radial_SVM,smotewb,0.3529299526817895,3.0
14,Linear_SVM,smotewb,0.29346473089514225,4.0
14,NNet,smotewb,0.34444444444444444,3.0
14,NaiveBayes,smotewb,0.27383489215509355,4.0
14,LogisticReg,smotewb,0.29346473089514225,4.0
15,J48,none,0.2810277450473483,4.0
15,KNN,none,0.7440161987239342,1.0
15,CART,none,0.5863467140999449,1.5
15,Radial_SVM,none,0.715742098357475,1.0
15,Linear_SVM,none,0.715742098357475,1.0
15,NNet,none,0.6799237430008577,2.0
15,NaiveBayes,none,0.664556446306707,1.0
